순위,검색 키워드,영상 제목,채널명,업로드 날짜,조회수,좋아요수,댓글수,조회수_log
121,韓国ファッション,【最高すぎる神サンダル🤍】履くだけでスタイルアップが叶う✨#shorts #fashion #wego #ウィゴー #outfit #韓国ファッション #ギャル #y2k #トレンド,WEGOゆーちゅー部 -WEGO公式-,2025-03-17,1206807,10350,34,14.003489415346827
122,韓国旅行,【韓国旅行✈️🇰🇷】韓国で一番の食べ歩きスポットで胃袋がはちきれる寸前まで食べ放題してきた,エミリンチャンネル,2024-03-10,1202101,11639,213,13.999582249046057
123,ソウル観光,韓国ソウルグルメ旅#2【パクリ文化】【カンジャンケジャン】,ノージョブフドウch. 【nojob.fudou.ch】,2023-03-25,1184161,11906,980,13.984545909390818
124,韓国コスメ,韓国でコスメを買うとき絶対やっちゃダメ🙅‍♀️NG行為‼️知らないでやったら怒られる💦気をつけてね #韓国 #韓国情報 #韓国旅行 #韓国旅行情報 #韓国旅行情報最新 #渡韓 #渡韓情報,ぼっちな韓国オタク🇰🇷みちゃん,2023-10-12,1119634,22948,103,13.928513297299517
125,韓国旅行,弾丸韓国旅行vlog🇰🇷💖✨大好きなdasiqueのいけてサイコウ🍃#vlog #韓国旅行 #美容課金 #肌管理  #dasique #medicube #fwee #オリーブヤング,˗ˏˋ あやかちゃんˎˊ˗,2024-09-22,1104832,31425,61,13.915204750290798
126,韓国コスメ,ローソンとロムアンドの新作コラボが衝撃すぎた...🙀#韓国コスメ #コスメ紹介 #ローソン #ロムアンド,짱키티【ﾁｬﾝｷﾃｨ】せっかちVlog,2025-11-05,1100549,18100,93,13.91132061281025
127,韓国旅行,【衝撃】帰国便ギリギリに行ってきた眉アートVlog🇰🇷✈️ 予約困難で絶対行きたかったところ⸝⸝ʚ̴̶̷̆_ʚ̴̶̷̆⸝⸝✨️#渡韓 #韓国旅行 #美容 #眉アート #韓国,짱키티【ﾁｬﾝｷﾃｨ】せっかちVlog,2025-09-03,1088874,17018,72,13.900655611121193
128,韓国コスメ,espoirでチーク作りがたのしすぎた#韓国#韓国旅行#韓国コスメ,Nanaちゃんねる,2025-02-03,1082045,36152,73,13.894364251348092
129,韓国旅行,意外と知らない😱実は韓国で買った方がいいモノ✨#韓国 #韓国旅行 #韓国旅行情報 #韓国情報 #渡韓 #渡韓情報 #ソウル #ソウル旅行 #shorts #short,ぼっちな韓国オタク🇰🇷みちゃん,2024-06-17,1078552,17402,59,13.89113088593121
130,ソウル観光,意外と知らない😱実は韓国で買った方がいいモノ✨#韓国 #韓国旅行 #韓国旅行情報 #韓国情報 #渡韓 #渡韓情報 #ソウル #ソウル旅行 #shorts #short,ぼっちな韓国オタク🇰🇷みちゃん,2024-06-17,1078552,17402,59,13.89113088593121
131,韓国ファッション,意外と知らない😱実は韓国で買った方がいいモノ✨#韓国 #韓国旅行 #韓国旅行情報 #韓国情報 #渡韓 #渡韓情報 #ソウル #ソウル旅行 #shorts #short,ぼっちな韓国オタク🇰🇷みちゃん,2024-06-17,1078552,17402,59,13.89113088593121
132,韓国コスメ,永久保存版‼️韓国コスメ偽物か本物か3秒で見分けられる方法👀 #韓国 #韓国情報 #韓国最新 #韓国最新情報 #渡韓 #渡韓情報 #韓国旅行 #韓国旅行情報 #shorts #short,ぼっちな韓国オタク🇰🇷みちゃん,2024-01-20,1074934,41559,106,13.887770752599533
133,ソウル観光,【韓国旅行】気をつけること4選〜初心者編〜　#korea #韓国 #shorts,March Travelまーちトラベル,2023-06-13,1068748,0,98,13.881999363560155
